City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bubaque,11.2833,-15.8333,26.35,63,59,5.36,GW,1706557227
83,kumcati,37.4657,42.2836,3.78,87,99,1.64,TR,1706556969
84,vigan,17.5747,120.3869,20.46,72,96,3.1,PH,1706557227
85,tiksi,71.6872,128.8694,-26.58,98,88,3.33,RU,1706556970
86,tralee,52.2704,-9.7026,3.86,77,7,2.66,IE,1706557227
87,hermanus,-34.4187,19.2345,22.11,74,97,8.73,ZA,1706557228
88,cuamba,-14.8031,36.5372,21.18,81,23,1.97,MZ,1706557228
89,thinadhoo,0.5333,72.9333,28.02,76,17,5.38,MV,1706557228
90,tavrichanka,43.3378,131.8639,-19.08,85,8,2.45,RU,1706557229
91,molochnoye,59.2917,39.6787,0.18,92,100,6.71,RU,1706557229
92,talnakh,69.4865,88.3972,-16.55,91,100,3.94,RU,1706557229
93,karystos,38.0133,24.4161,9.12,61,100,9.02,GR,1706556971
94,saint-joseph,-21.3667,55.6167,24.21,87,33,4.04,RE,1706556971
95,essaouira,31.5125,-9.77,20.72,34,5,0.51,MA,1706557230
96,siocon,7.7061,122.1353,25.02,85,100,3.84,PH,1706557230
97,bhadrakh,21.0528,86.52,17.38,69,70,1.23,IN,1706557230
98,alofi,-19.0595,-169.9187,27.94,83,100,2.57,NU,1706557231
99,naze,28.3667,129.4833,8.51,65,46,2.53,JP,1706556972
100,sitka,57.0531,-135.33,9.94,71,100,18.52,US,1706557231
101,hawaiian paradise park,19.5933,-154.9731,28.83,66,0,1.54,US,1706557231
102,aldan,58.6031,125.3894,-31.86,98,100,0.68,RU,1706557232
103,burhar,23.2167,81.5333,14.56,39,64,0.4,IN,1706557232
104,changsha,28.2,112.9667,7.09,92,84,1.2,CN,1706557232
105,west island,-12.1568,96.8225,24.99,78,28,2.06,CC,1706557232
106,shalqar,47.8333,59.6,-12.84,93,99,4.87,KZ,1706557232
107,miranda,3.2499,-76.2281,32.07,54,99,1.17,CO,1706557233
108,san pedro pochutla,15.7333,-96.4667,30.84,38,0,4.07,MX,1706557233
109,khombole,14.7667,-16.7,27.45,24,99,5.47,SN,1706557233
110,kirklareli,41.7351,27.2252,-0.25,81,64,10.4,TR,1706556974
111,rio grande,-32.035,-52.0986,27.06,71,51,5.16,BR,1706556975
112,selfoss,63.9331,-20.9971,1.14,85,100,13.03,IS,1706557233
113,arteche,12.2645,125.4048,24.7,88,100,6.5,PH,1706557233
114,qamdo,31.1667,97.2333,-10.48,43,7,1.86,CN,1706556975
115,al wakrah,24.85,51.3333,20.05,50,100,2.76,QA,1706557234
116,avarua,-21.2078,-159.775,26.03,100,75,3.6,CK,1706557234
117,errachidia,31.9275,-4.4285,16.03,18,0,3.09,MA,1706556976
118,vila franca do campo,37.7167,-25.4333,18.27,99,78,8.12,PT,1706557234
119,la passe,45.5549,-0.8967,12.21,88,100,5.11,FR,1706557234
120,vadso,70.0744,29.7487,2.49,69,33,16.98,NO,1706557235
121,vila velha,-20.3297,-40.2925,30.97,79,20,9.26,BR,1706557058
122,ribeira grande,38.5167,-28.7,17.22,88,40,8.75,PT,1706557235
123,puerto ayora,-0.7393,-90.3518,31.98,75,100,5.05,EC,1706557235
124,bouznika,33.7894,-7.1597,17.98,67,20,2.57,MA,1706557235
125,lebu,-37.6167,-73.65,17.91,61,55,5.38,CL,1706557236
126,al hudaydah,14.7978,42.9545,25.61,82,51,4.74,YE,1706557236
127,hun,29.1268,15.9477,11.51,53,8,4.07,LY,1706557236
128,nadi,-17.8,177.4167,25.0,88,75,2.06,FJ,1706556978
129,saudarkrokur,65.7461,-19.6394,2.02,75,100,11.29,IS,1706556978
130,jamestown,42.097,-79.2353,1.77,98,100,4.63,US,1706556978
131,tofol,5.3248,163.0078,27.41,72,100,5.55,FM,1706556978
132,kingston,17.997,-76.7936,30.13,65,20,6.17,JM,1706557237
133,ndele,8.4109,20.6473,25.06,19,60,1.98,CF,1706557237
134,saint-gaudens,43.0833,0.6667,9.46,68,100,1.81,FR,1706556978
135,myshkin,57.7897,38.4545,-1.62,87,100,6.31,RU,1706557237
136,mhamid,29.82,-5.72,17.51,18,9,3.53,MA,1706557237
137,kargasok,59.0556,80.8572,-20.58,100,84,2.68,RU,1706557237
138,kapuskasing,49.4169,-82.4331,0.0,86,100,5.14,CA,1706557238
139,paka,4.6374,103.4368,24.99,94,86,1.54,MY,1706557238
140,coquimbo,-29.9533,-71.3436,19.85,82,75,5.66,CL,1706557238
141,mao,39.8885,4.2658,12.31,87,20,3.09,ES,1706556980
142,dawson creek,55.7666,-120.2362,13.8,44,0,5.14,CA,1706557043
143,talakan,50.3167,130.3667,-28.62,100,100,0.54,RU,1706557238
144,salalah,17.0151,54.0924,25.05,69,0,2.06,OM,1706556980
145,zouerate,22.7187,-12.4521,20.62,12,0,4.19,MR,1706557239
146,shani,10.2162,12.062,26.39,16,1,2.91,NG,1706557239
147,camana,-16.6228,-72.7111,25.38,74,32,3.82,PE,1706557239
148,iskateley,67.6803,53.1512,-4.99,91,100,11.62,RU,1706557239
149,puerto aysen,-45.4,-72.7,19.88,54,99,1.8,CL,1706556981
150,kavaratti,10.5669,72.642,27.74,64,52,2.72,IN,1706557239
151,iranshahr,27.2025,60.6848,17.19,45,0,0.0,IR,1706557239
152,ilhabela,-23.7781,-45.3581,25.34,82,37,2.35,BR,1706557239
153,chenaran,36.6455,59.1212,1.36,90,98,1.17,IR,1706556982
154,pangody,65.85,74.4859,-20.98,95,46,4.19,RU,1706557240
155,papatowai,-46.5619,169.4708,16.18,69,100,2.05,NZ,1706557240
156,lucenec,48.3325,19.6671,0.33,86,8,0.27,SK,1706556982
157,rengasdengklok,-6.1592,107.2981,25.18,90,100,2.29,ID,1706557240
158,port alfred,-33.5906,26.891,26.01,78,57,0.73,ZA,1706557240
159,ponta delgada,37.7333,-25.6667,18.44,82,20,9.26,PT,1706557240
160,verkhnevilyuysk,63.4453,120.3167,-37.01,99,81,1.65,RU,1706557240
161,shymkent,42.3,69.6,0.33,93,100,6.0,KZ,1706557212
162,ngambe,4.2333,10.6167,23.69,80,43,1.29,CM,1706557241
163,okhotsk,59.3833,143.3,-25.79,81,6,3.65,RU,1706557241
164,punta arenas,-53.15,-70.9167,16.06,39,0,8.75,CL,1706556983
165,luderitz,-26.6481,15.1594,18.55,74,99,3.3,NA,1706557241
166,navojoa,27.1,-109.4333,31.74,12,88,2.37,MX,1706557010
167,xilin hot,43.9667,116.0333,-21.14,99,100,0.52,CN,1706556984
168,inirida,3.8653,-67.9239,32.05,51,99,1.02,CO,1706557241
169,tura,25.5198,90.2201,12.47,61,0,1.35,IN,1706557242
170,skelleftea,64.7507,20.9528,4.44,78,4,9.26,SE,1706557242
171,port lincoln,-34.7333,135.8667,17.05,85,77,4.94,AU,1706557242
172,markovo,57.3206,107.0881,-37.18,100,36,0.46,RU,1706557242
173,nuuk,64.1835,-51.7216,-16.66,60,40,8.23,GL,1706557242
174,bilibino,68.0546,166.4372,-32.51,99,100,1.05,RU,1706556985
175,urumqi,43.801,87.6005,-20.47,92,40,1.0,CN,1706557243
176,urucara,-2.5364,-57.76,34.19,44,92,0.68,BR,1706557243
177,saguenay,48.4168,-71.0657,-3.84,72,75,2.06,CA,1706556986
178,trairi,-3.2778,-39.2689,28.94,70,94,6.28,BR,1706557184
179,khovd,48.0056,91.6419,-21.64,90,28,0.81,MN,1706557243
180,invercargill,-46.4,168.35,15.01,88,61,1.79,NZ,1706557244
181,stephenville,32.2207,-98.2023,21.77,32,0,3.6,US,1706557172
182,plastun,44.7561,136.2939,-14.84,84,4,3.38,RU,1706557244
183,sanya,18.2431,109.505,20.09,88,0,2.0,CN,1706557244
184,alegria,9.4669,125.5772,24.6,94,100,3.99,PH,1706557244
185,elko,41.0002,-115.5012,6.47,86,23,2.24,US,1706557244
186,afaahiti,-17.75,-149.2833,28.93,78,99,1.45,PF,1706557244
187,palmer,42.1584,-72.3287,1.75,78,100,5.14,US,1706557245
188,yashkino,55.8736,85.4265,-21.98,99,100,1.6,RU,1706557245
189,launceston,-41.45,147.1667,12.67,66,75,3.09,AU,1706557221
190,minas de marcona,-15.2119,-75.1103,24.26,59,55,7.51,PE,1706557245
191,bati,11.1833,40.0167,18.4,81,100,1.74,ET,1706557245
192,hushitai,41.9322,123.5114,-14.05,96,11,1.71,CN,1706557245
193,keflavik,64.0049,-22.5624,0.95,80,75,10.8,IS,1706557246
194,pervomayskiy,53.2485,40.2871,-7.55,93,100,4.41,RU,1706557246
195,sinabang,2.4803,96.3801,26.36,83,38,1.39,ID,1706557246
196,pursat,12.3333,103.6667,22.95,66,100,0.71,KH,1706556989
197,mahalapye,-23.1041,26.8142,23.59,61,45,3.7,BW,1706557246
198,kamyshlov,56.8428,62.7111,-17.59,99,77,2.09,RU,1706557246
199,nema,57.5067,50.5011,-5.76,96,100,3.5,RU,1706557246
200,chibougamau,49.9168,-74.3659,-11.21,62,0,1.54,CA,1706556989
201,port saint john's,-31.6229,29.5448,25.11,90,100,6.37,ZA,1706556990
202,kidal,18.4411,1.4078,21.15,14,15,5.03,ML,1706557247
203,carnarvon,-24.8667,113.6333,23.13,77,0,9.47,AU,1706557247
204,natal,-5.795,-35.2094,30.36,70,40,5.66,BR,1706556967
205,alice springs,-23.7,133.8833,26.23,21,99,0.0,AU,1706556990
206,burgersdorp,-30.9977,26.3286,27.55,26,97,1.73,ZA,1706557247
207,pacora,9.0833,-79.2833,33.99,43,40,7.2,PA,1706557247
208,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,93,0,5.0,RU,1706557247
209,sambava,-14.2667,50.1667,24.27,91,97,2.66,MG,1706557248
210,beauvais,49.4167,2.0,10.91,88,0,2.57,FR,1706557248
211,tsiombe,-25.3,45.4833,22.73,81,15,7.01,MG,1706556991
212,barranca,-10.75,-77.7667,25.9,70,97,4.71,PE,1706557248
213,sandnessjoen,66.0217,12.6316,5.29,81,75,8.23,NO,1706556992
214,futtsu,35.3053,139.8186,6.06,62,100,3.67,JP,1706557248
215,khandyga,62.6667,135.6,-47.9,100,85,0.93,RU,1706557248
216,kerikeri,-35.2268,173.9474,19.39,87,3,0.89,NZ,1706556992
217,ballina,-28.8667,153.5667,24.88,92,99,2.91,AU,1706557249
218,anadyr,64.75,177.4833,-32.72,68,40,4.0,RU,1706557249
219,masterton,-40.9597,175.6575,18.82,71,48,2.83,NZ,1706557249
220,guerrero negro,27.9769,-114.0611,23.69,29,56,3.26,MX,1706557249
221,artesia,33.8658,-118.0831,28.04,33,0,2.57,US,1706557249
222,east london,-33.0153,27.9116,26.14,81,100,8.22,ZA,1706557249
223,namibe,-15.1961,12.1522,23.48,73,9,5.95,AO,1706557249
224,praia da vitoria,38.7333,-27.0667,16.53,88,20,4.95,PT,1706557250
225,konarka,19.9,86.1167,20.22,65,4,3.17,IN,1706557250
226,mahavelona,-17.6848,49.5087,23.99,87,26,4.53,MG,1706557250
227,motygino,58.1831,94.7592,-25.12,94,9,2.68,RU,1706557250
228,zhangjiakou shi xuanhua qu,40.6103,115.0447,-9.68,85,68,0.74,CN,1706557250
229,barvinkove,48.9097,37.0205,-0.35,82,60,2.57,UA,1706557250
230,los llanos de aridane,28.6585,-17.9182,18.96,41,19,3.58,ES,1706557250
231,hithadhoo,-0.6,73.0833,27.86,75,17,3.08,MV,1706557250
232,severnoye,56.3491,78.3619,-15.01,98,99,1.79,RU,1706557251
233,ponoka,52.6768,-113.5815,2.72,98,9,3.18,CA,1706557251
234,thompson,55.7435,-97.8558,-4.91,86,100,4.63,CA,1706556995
235,nosy varika,-20.5833,48.5333,23.57,88,47,3.47,MG,1706557251
236,paita,-5.0892,-81.1144,27.03,71,93,7.16,PE,1706556995
237,murun-kuren,49.6342,100.1625,-20.71,91,100,0.46,MN,1706556995
238,dashiqiao,40.6373,122.5025,-7.49,86,5,1.69,CN,1706557251
239,el granada,37.5027,-122.4694,23.1,70,0,3.6,US,1706557251
240,greymouth,-42.4667,171.2,16.25,60,7,1.82,NZ,1706557252
241,farasan,16.7022,42.1183,26.04,76,94,4.63,SA,1706557252
242,buraydah,26.326,43.975,18.25,46,58,3.07,SA,1706557252
243,biloela,-24.4167,150.5,25.71,93,100,2.1,AU,1706556996
244,atafu village,-8.5421,-172.5159,29.2,71,88,3.18,TK,1706557252
245,necochea,-38.5473,-58.7368,28.35,45,59,9.24,AR,1706557252
246,voghera,44.9947,9.0086,5.85,80,92,0.65,IT,1706557252
247,acapulco de juarez,16.8634,-99.8901,29.9,70,75,1.03,MX,1706557252
248,acarau,-2.8856,-40.12,28.92,72,90,8.85,BR,1706557121
249,hammerfest,70.6634,23.6821,2.25,69,40,25.21,NO,1706557253
250,nar'yan-mar,67.6713,53.087,-4.94,91,100,11.62,RU,1706557253
251,sai buri,6.7013,101.6168,24.29,86,72,4.17,TH,1706557253
252,san mariano,7.5,126.0,22.53,100,100,0.49,PH,1706557253
253,flying fish cove,-10.4217,105.6791,24.82,100,40,1.54,CX,1706557253
254,tanaina,61.6269,-149.4281,-13.62,83,100,2.06,US,1706557254
255,lagoa,39.05,-27.9833,16.02,87,0,10.26,PT,1706557254
256,yaren,-0.5472,166.916,29.16,67,98,8.03,NR,1706557254
257,saint-philippe,-21.3585,55.7679,24.77,86,49,3.28,RE,1706557254
258,panguipulli,-39.6333,-72.3333,28.66,18,28,2.34,CL,1706557254
259,luimneach,52.6647,-8.6231,2.97,91,6,2.64,IE,1706556999
260,shingu,33.7333,135.9833,3.63,64,48,2.49,JP,1706557254
261,dhidhdhoo,6.8833,73.1,27.57,66,6,3.78,MV,1706557254
262,luau,-10.7073,22.2247,18.85,96,100,1.44,AO,1706557255
263,caribou,46.8606,-68.012,-2.76,63,100,6.17,US,1706557255
264,luwuk,-0.9516,122.7875,25.52,82,67,1.64,ID,1706557255
265,port elizabeth,-33.918,25.5701,22.28,89,20,13.89,ZA,1706557255
266,happy valley-goose bay,53.3168,-60.3315,-18.83,38,0,2.06,CA,1706557255
267,bomdila,27.25,92.4,-0.79,84,76,2.97,IN,1706557255
268,nemuro,43.3236,145.575,-0.93,85,12,2.68,JP,1706557255
269,bredasdorp,-34.5322,20.0403,24.04,51,65,7.04,ZA,1706557256
270,euclides da cunha,-10.5075,-39.0158,29.78,49,100,2.19,BR,1706557057
271,guigang,23.0964,109.6092,10.86,95,95,1.6,CN,1706557256
272,longgang,37.6508,120.3286,0.03,80,4,3.81,CN,1706557256
273,hirara,24.8,125.2833,20.15,73,75,6.17,JP,1706557256
274,caleta de carquin,-11.0925,-77.6267,26.69,71,51,5.25,PE,1706557256
275,noumea,-22.2763,166.4572,26.67,99,45,0.55,NC,1706556655
276,weno,7.4515,151.8468,25.97,89,100,3.09,FM,1706557256
277,amahai,-3.3333,128.9167,26.29,80,99,1.8,ID,1706557257
278,olinda,-8.0089,-34.8553,29.85,70,40,5.14,BR,1706557257
